id,release_year,artists,track_name
68wXv4DokvcOVNvuJ7FbWp,2020,"3jK9MiCrA42lLAdMGUZpwa, 1sBkRIssrMs1AbVkOJbc7a",CUT EM IN (feat. Rick Ross)
4cEmMB907Xi22vV9RIOSQE,2022,"6DPYiyq5kWVQS4RGwxzPC7, 1sBkRIssrMs1AbVkOJbc7a, 3jK9MiCrA42lLAdMGUZpwa",The Scenic Route (with Rick Ross & Anderson .Paak)
16utyJfWZGkTWYDobMzND7,2015,"7hJcb9fa4alzcOq3EaNPoG, 2YZyLoL8N0Wb9xBt1NhZWg, 1sBkRIssrMs1AbVkOJbc7a",I'm Ya Dogg (feat. Kendrick Lamar & Rick Ross)
1QBwk6GTCxVdC2hoSw9tlM,2011,"3TVXtAsR1Inumwj472S9r4, 1sBkRIssrMs1AbVkOJbc7a",Lord Knows
5n86k4ft5H7OK4qdSUfYoz,2013,"3nFkdlSjzX9mRTtwJOzDYB, 1sBkRIssrMs1AbVkOJbc7a",F*ckwithmeyouknowigotit
1rX5L6pyl3rVWb55D8Cprr,2019,"1sBkRIssrMs1AbVkOJbc7a, 3TVXtAsR1Inumwj472S9r4",Gold Roses (feat. Drake)
0dpok9LbD1eATa5XPMardF,2011,"55Aa2cqylxrFIXC767Z865, 1sBkRIssrMs1AbVkOJbc7a",John
7c3SbTuufigBWURcICnAWy,2018,"3jK9MiCrA42lLAdMGUZpwa, 2YZyLoL8N0Wb9xBt1NhZWg",Tints (feat. Kendrick Lamar)
1qwMkkRiD5jqLeUUjfgblh,2020,"7dGJo4pcD2V6oG8kP0tJRR, 3jK9MiCrA42lLAdMGUZpwa",Lock It Up (feat. Anderson .Paak)
3PIkDjIA7MZEHkGSOmbgRW,2023,"3LZZPxNDGDFVSIPqf4JuEf, 0hCNtLu0JehylgoiP8L4Gh",Princess Diana (with Nicki Minaj)
62k3kkUQmWan59sH3Lzt1t,2023,"3LZZPxNDGDFVSIPqf4JuEf, 0hCNtLu0JehylgoiP8L4Gh",Princess Diana (with Nicki Minaj) [Extendo Clip]
2oUwMN5VfdGX10XeQJLBBi,2021,"6Ip8FS7vWT1uKkJSweANQK, 2SrSdSvpminqmStGELCSNd",Clash (feat. Stormzy)
6pmNoWKk0r6zfIjWneJRxR,2021,"4r63FhuTkUYltbVAg5TQnk, 55Aa2cqylxrFIXC767Z865",Lonely (with Lil Wayne)
3GX2hFAekmSduZzcS52OnR,2019,"4r63FhuTkUYltbVAg5TQnk, 0hCNtLu0JehylgoiP8L4Gh",iPHONE (with Nicki Minaj)
