word,frequency
"trick,",12
raised,12
brown],12
months,12
betty,12
ford,12
non-believer,12
leavin',12
"(woo,",12
counting,12
whatcha,12
"around,",12
movin',12
between,12
on),12
"crazy,",12
"parents,",12
alive?,12
anything?,12
joseph,12
"again,",12
"ugh,",12
tags,12
met,12
holocaust,12
knock,12
moment,12
(me,12
wonder,12
"one-two,",12
cash,12
"story,",12
"to,",12
"you""",12
song),12
thanks,12
"dead,",12
school,12
before),12
having,12
power,12
"dog,",12
"""hello,",12
follow,12
forgive,12
sometimes,12
supercharged,12
locked,12
"chart,",12
chicks,12
worth,12
crew,12
i'd,11
clear,11
happiness,11
uncle,11
"play,",11
peace,11
sell,11
piece,11
ring,11
figure,11
thugs,11
gun,11
fake,11
jewelry,11
outkast,11
job,11
dealing,11
sent,11
girlfriend,11
"alive,",11
police,11
brand,11
soldiers,11
mom,11
cook,11
"""what",11
bounce,11
"sorry,",11
needed,11
crash,11
lead,11
name?,11
(you,11
up?),11
bigger,11
waves,11
"lord,",11
lies,11
mack,11
(already),11
rapper,11
deal,11
okay),11
dreamin',11
(yeah!),11
allegiance,11
pledge,11
rhymes,11
double,11
dad,11
makes,11
"pimpin',",11
nation,11
"hard,",11
yes,11
strong,11
"king,",11
ocean,11
future,11
here's,11
laughing,11
poor,11
[interlude],11
"doing,",11
"hood,",11
space,11
doors,11
ham,11
code,11
playing,11
"thing,",11
fought,11
safe,11
pastor,11
dressed,11
both],11
"alone,",11
remind,11
backwards,11
puttin',11
(point,11
religion,11
bounce),11
dimes,11
(bitch),11
late,11
chillin',11
(some,11
stories,11
blame,11
bread,10
pharrell],10
like[interlude:,10
"throne,",10
[interlude:,10
everywhere,10
least,10
[refrain:,10
become,10
(woo!),10
kinda,10
pot,10
baby),10
inevitable,10
dirt,10
jam,10
ahead,10
loaded,10
"(one,",10
built,10
martin,10
stuff,10
ludacris,10
sugar,10
sip,10
question,10
blew,10
given,10
breathe!,10
twins,10
save,10
happened,10
rick,10
bar,10
hours,10
rude,10
(it,10
use,10
socks,10
attitude,10
(hey),10
"lady,",10
roc),10
havin',10
sippin',10
famous,10
pocket,10
"(uh),",10
breakfast,10
problem,10
purses,10
"chilling,",10
spot,10
blocks,10
blueprint,10
swear,10
quick,10
sitting,10
pablo,10
grown,10
"mama,",10
woulda,10
"big,",10
capital,10
don’t,10
steps,10
taking,10
changed,10
"r-o-c,",10
woo),10
"goddamn,",10
"waves,",10
worst,10
wait,10
(same,10
hip,10
kingdom,10
doin'—,10
"died,",10
"son,",10
lawyer,10
roof,10
smart,10
sample],10
sean,10
"death,",10
middle,10
found,10
lyrics,10
could've,10
"chick,",10
homie,10
"""big",9
luxury,9
say?,9
cars,9
birds,9
adore,9
da-da-daddy,9
flight,9
trust,9
dough,9
sale,9
"talk,",9
ross,9
"enough,",9
one),9
"""it's",9
clean,9
style,9
none,9
nephew,9
"gone,",9
win,9
heat,9
"word,",9
"everything,",9
love),9
earth,9
"(uh-huh,",9
mase,9
does,9
clip,9
losing,9
tags!,9
"five,",9
cock,9
box,9
rain,9
reality,9
i.d.,9
actin',9
sleepy,9
stack,9
he’s,9
ye,9
learn,9
eating,9
"table,",9
"club,",9
bars,9
tie,9
women,9
flip,9
jail,9
nose,9
uhh),9
"bad,",9
slim,9
maybach,9
weekend,9
album,9
graduated,9
salt-n-pepa,9
killin',9
d-boy,9
must,9
lyrics[chorus:,9
roc-a-fella,9
proof,9
"guy,",9
spit,9
cudi,9
survive,9
arms,9
nelly,9
6,9
"name,",9
(fuck,9
road,9
"so,",9
scream,9
carter,9
lay,9
neck,9
(yup),9
circle,9
mami,9
spin,9
split,9
paparazzi,9
t.i.,9
sticks,9
mirror,9
guys,9
holdin',9
iron,9
children,9
it.,9
shame,9
broke,9
hov',9
balls,9
tears,9
ja,9
"broke,",9
"home,",9
raps,9
change),9
switched,9
hammer,9
whether,9
dj,9
dropped,9
waste,9
destroy,9
hated,9
boyfriend,9
fool,9
jeans,9
mall,9
bein',9
daughter,9
"ah,",9
"fly,",9
b,9
"holy,",9
magic,9
"hehehe,",9
moma,9
showing,9
lie,9
jeff,9
projects,9
tomorrow,9
office,9
true,9
(right),9
ends,9
field,9
"""i'm",9
lyrics[verse,9
colored,9
"mirror,",9
"keys,",9
longer,9
picasso,9
"(ayy,",9
mines,9
"roc,",9
rule,9
stick,9
damn!,9
across,9
rolling,9
read,9
rims,8
sins,8
shine,8
wrote,8
seven,8
slippers,8
door,8
"out""",8
nope,8
kick,8
issues,8
"gangster,",8
simmons,8
five,8
hits,8
beginning,8
ways,8
"brooklyn!""",8
nine,8
scarface,8
makin',8
blast,8
bussin',8
lisa,8
pistol,8
ll,8
loves,8
glow,8
ground,8
dean],8
brought,8
"""black-on-black",8
you'd,8
memory,8
"(oh,",8
chainz,8
rappin',8
fact,8
mark,8
[hook:,8
hah,8
ripped,8
quarter-century,8
(what,8
plan,8
dame,8
