track_id,track_name,album_name,release_date,popularity,artist_ids
24PK3rOEmrbRcHCI0hNc8s,More (feat. Anthony Hamilton),Chapter 3: The Flesh,2005-09-01,31,"['1lE6SEy8f84Zhjvp7r8yTD', '2DzRMyWgjuMbYvt5BLbpCo']"
2IaZ13ljusQXsOmvzFNS2D,Baby I'm So Confused,"Chapter 1: Love, Pain and Forgiveness",2001-05-03,32,['1lE6SEy8f84Zhjvp7r8yTD']
13V3drv9UkKEpQHauPIMJh,Hypnotic (feat. R.Kelly & Fabolous),Chapter 3: The Flesh,2005-09-01,27,"['1lE6SEy8f84Zhjvp7r8yTD', '2mxe0TnaNL039ysAj51xPQ', '0YWxKQj2Go9CGHCp77UOyy']"
4NPblAIjlTY6aQdVKJNNUD,Hit On Me,"Chapter 1: Love, Pain and Forgiveness",2001-05-03,30,['1lE6SEy8f84Zhjvp7r8yTD']
0G0NLDHCMcSjnPEeaH8YcQ,Tonight I'm Gonna Let Go,The Best of Syleena Johnson,2008-07-22,6,['1lE6SEy8f84Zhjvp7r8yTD']
0mGKRZQz3uENGLjEhXbsSr,Silent Night,Silent Night,2022-11-29,29,"['1lE6SEy8f84Zhjvp7r8yTD', '0KWcq2E8ejxp78jdfpCd4K', '1UjTUqWfGkof4L5HO5NmzP']"
3vjbj7WoYbbS94r4VMLU18,Black Balloon,Legacy,2024-08-29,24,"['1lE6SEy8f84Zhjvp7r8yTD', '6XItHNeKXecnFpkJHOn5JL']"
33hhCsDbgCe9kXnmPciqOn,Slowly,Chapter 3: The Flesh,2005-09-01,27,['1lE6SEy8f84Zhjvp7r8yTD']
4OssqCixV2Xsxd43wMIQyS,CARNIVAL,VULTURES 1,2024-02-09,82,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']"
7vv89PswQvqGKCGJ1rw5on,FIELD TRIP,VULTURES 2,2024-08-03,75,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']"
38BgRP0EX5p0sBj0fFhqN9,BURN,VULTURES 1,2024-02-09,73,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']"
4eIYnlcgI2chjQBuW1VRr7,FUK SUMN,VULTURES 1,2024-02-09,72,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']"
6bSfeCXlUaGa3eWCy5qPTb,PROMOTION,VULTURES 2,2024-08-03,68,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']"
