id,release_year,artists,track_name
7bo8pCTSO5O3NMYIdWKSE3,2024,"['0huGjMyP507tBCARyzSkrv', '7c0XG5cIJTrrAgEC3ULPiq']",Pray (feat. Ty Dolla $ign)
4iz9lGMjU1lXS51oPmUmTe,2007,"['5K4W6rqBFWDnAN6FQUkS6x', '0LQoZQIV0mIs0y0XQb0Sw2']",Homecoming
5XsAOpPWPJLrwC9sgtigTp,2024,"['0huGjMyP507tBCARyzSkrv', '5K4W6rqBFWDnAN6FQUkS6x']",No Bad News (feat. Kanye West)
1pHyMdmKAp494PDSZhJHvR,2019,"['0huGjMyP507tBCARyzSkrv', '7c0XG5cIJTrrAgEC3ULPiq']",Way Back Home (feat. Ty Dolla $ign)
189UFAteI7KCMqB2lNL9vf,2007,"['6vbY3hOaCAhC7VjucswgdS', '3aQeKQSyrW4qWr35idm0cy']",Creep Fast (feat. T-Pain)
72TFWvU3wUYdUuxejTTIzt,2016,"['5pKCCKE2ajJHZ9KAiaK11H', '3TVXtAsR1Inumwj472S9r4']",Work
6DkXLzBQT7cwXmTyzAB1DJ,2010,"['5pKCCKE2ajJHZ9KAiaK11H', '3TVXtAsR1Inumwj472S9r4']",What's My Name?
124NFj84ppZ5pAxTuVQYCQ,2011,"['3TVXtAsR1Inumwj472S9r4', '5pKCCKE2ajJHZ9KAiaK11H']",Take Care
6M6lsQB4OhqL41eld29PeC,2010,"['5pKCCKE2ajJHZ9KAiaK11H', '7dGJo4pcD2V6oG8kP0tJRR']",Love The Way You Lie (Part II) - Pt. 2
3BtuIIrQlkujKPuWF2B85z,2016,"['3TVXtAsR1Inumwj472S9r4', '5pKCCKE2ajJHZ9KAiaK11H']",Too Good
