id,name,genres,popularity,followers,is_rapper
4r63FhuTkUYltbVAg5TQnk,DaBaby,"hip hop, north carolina hip hop, pop rap, rap, trap",80.0,12340254.0,1
2DlGxzQSjYe5N6G9nkYghR,Jennifer Lopez,"dance pop, pop, urban contemporary",77.0,13347099.0,0
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,"deep underground hip hop, hip hop, kentucky hip hop, pop rap, rap",82.0,3994801.0,1
4sb7rZNN93BSS6Gqgepo4v,Too $hort,"cali rap, gangster rap, golden age hip hop, hyphy, oakland hip hop, west coast rap",64.0,1597530.0,1
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,"modern rock, pop, rock",89.0,55546754.0,0
1KlUwB6uFECMC3zzvFvykx,Niia,,47.0,49568.0,0
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red,trap queen,82.0,1610535.0,1
5spEJXLwD1sKUdC2bnOHPg,Bone Thugs-N-Harmony,"gangster rap, hip hop, ohio hip hop, rap",67.0,3149957.0,1
1MIVXf74SZHmTIp4V4paH4,Mabel,"pop, uk pop",66.0,2031907.0,0
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,"canadian contemporary r&b, canadian pop, pop",96.0,95904656.0,0
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,pop,83.0,20693587.0,0
1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,"pop, scandipop, swedish electropop, swedish pop",77.0,10612421.0,0
4IVAbR2w4JJNJDDRFP3E83,6LACK,"atl hip hop, melodic rap, r&b, rap, trap",74.0,4769628.0,1
0A0FS04o6zMoto8OKPsDwY,YG,"cali rap, hip hop, pop rap, rap, southern hip hop, trap",74.0,3378084.0,1
6LuN9FCkKOj5PcnpouEgny,Khalid,"pop, pop r&b",85.0,16488064.0,0
6fWVd57NKTalqvmjRd2t8Z,24kGoldn,"cali rap, pop rap",71.0,2253673.0,1
3qnMl4DHT4gndzFAcG4FlM,Kill The Noise,"brostep, complextro, edm, electro house, fidget house, filthstep",55.0,418668.0,0
0nnBZ8FXWjG9wZgM2cpfeb,Leon Thomas,indie r&b,68.0,236592.0,0
54QA4zjZDOyaLN8bVthBjP,Joe Moses,"cali rap, west coast trap",49.0,101410.0,1
1z7b1Pr1rSlvWRzsW3HOrS,Russ,"hawaiian hip hop, pop rap",77.0,5285133.0,1
5vBrKGOjN10BMwB0cJADj4,bülow,"alt z, indietronica",50.0,565115.0,0
4qLV9FR6ZVLS6W8drD78hM,Marcia Griffiths,"dub, lovers rock, reggae, rocksteady, roots reggae",47.0,68920.0,0
5FMLbvy0kbuHZEGtnAKE00,Christopher Herrick,classical organ,21.0,546.0,0
1lldK0FC6IBVh3GGzlN4Da,Alan Loveday,,25.0,564.0,0
6hPc7dyXAey1c44DfQkPqn,Herb Pedersen,,30.0,2278.0,0
2M7iiWelrfIwmEyVhM1ZRB,Stephen Varcoe,,5.0,0.0,0
4NYAtbtGjoARss1qcUp4hw,Juliana Koch,,29.0,183.0,0
1bj5GrcLom5gZFF5t949Xl,Martin Solveig,"disco house, edm, electro house, filter house, house, pop dance, vocal house",64.0,1181133.0,0
0OTPgUKkDp058dC3czXFM2,Michael Praetorius,"baroque, classical, early music, german renaissance, renaissance",48.0,9280.0,0
0xqoJugEySxgSUAjvWj6TW,Robert Spencer,,23.0,92.0,0
3adMGKhs0hyGuTVpe7hnqC,Sir David Willcocks,"choral, orchestral performance",55.0,6798.0,0
5sUrlPAHlS9NEirDB8SEbF,Alejandro Sanz,"cantautor, latin arena pop, latin pop, mexican pop",77.0,7731083.0,0
4uoz4FUMvpeyGClFTTDBsD,Ricardo Montaner,latin pop,69.0,6520338.0,0
2w0dRPpzDTNYZmV9AplCD0,Simon Preston,classical organ,49.0,5511.0,0
5pf59s93BwFYfj6L6gQGSM,Jaime Martin,orchestral performance,46.0,417.0,0
0f3PsS9IQ6whvNMFFKnpjl,"Choir of King's College, Cambridge","british choir, cambridge choir, choral",63.0,81642.0,0
376oz9UwQfpxO5xxgQplBS,Kenneth Heath,,33.0,185.0,0
0TU5B5Zchs3He9YQYXhC1S,Stephen Varcoe,classical bass,36.0,691.0,0
4wnyNu7aCdqEp0vqM6UxEv,Colin Tilney,"harpsichord, historical keyboard, historically informed performance",26.0,759.0,0
3xnPsbGlTHqHM3hfz3O4mt,Chris Richards,,27.0,217.0,0
3D9DcggL2jQSpF0PaxAyr3,jayover,,41.0,1235.0,0
4ehtJnVumNf6xzSCDk8aLB,Martin Jensen,"danish electronic, edm, pop dance",62.0,1275209.0,0
2cN9SgfyZo6l6TijoewUaZ,Bohuslav Martinů,"czech classical, early modern classical, neoclassicism",29.0,9401.0,0
1pmixngtBJleMrGUG5o8DE,Mr. Vegas,"azonto, dancehall, reggae fusion, soca",57.0,365434.0,0
6kuAjH8jM4yaKQhZekTUgL,Sabine Meyer,"classical clarinet, classical performance",43.0,11233.0,0
3qrdTy0IyRgqjXHNCOoSST,Christina Sinatra,,45.0,68.0,0
41ESHLayJ5sDKjAOv6cMhe,Ana Gabriel,"latin pop, mariachi, ranchera",71.0,4743691.0,0
3VrGfWE8YdYMK4ySpnE0ly,Lyrical Lemonade,,59.0,171618.0,0
3StB6ddX8vfwCGVD9HlNUw,Take A Daytrip,,46.0,17228.0,0
7zfaArteqSs8YgCCmPrDK4,DJ Khalil,,44.0,9213.0,0
