id,release_year,artists,track_name
6ykscMzc6Oih4IlQh6sfXy,2023,"['0hCNtLu0JehylgoiP8L4Gh', '6l3HvQ5sa6mXTsMTB19rO5']",Let Me Calm Down (feat. J. Cole)
0I89140kBBWb1e1JeA06sb,2023,"['0hCNtLu0JehylgoiP8L4Gh', '3TVXtAsR1Inumwj472S9r4']",Needle (feat. Drake)
4JdtcbuALyHUZnYfa8LQwo,2023,"['0hCNtLu0JehylgoiP8L4Gh', '4O15NlyKLIASxsJ0PrXPfz']",Everybody (feat. Lil Uzi Vert)
4cO6bJO7eETOi8GLjPgDWn,2023,"['0hCNtLu0JehylgoiP8L4Gh', '1RyvyyTE3xzB2ZywiAwp0i']",Nicki Hendrix (feat. Future)
16rNDEkMuvhdoDad7UKZIr,2023,"['0hCNtLu0JehylgoiP8L4Gh', '3q7HBObVc0L8jNeTe5Gofh']",Beep Beep (feat. 50 Cent)
44gmXwbdHjwQsQvsiraj14,2023,"['0hCNtLu0JehylgoiP8L4Gh', '6l3HvQ5sa6mXTsMTB19rO5']",Let Me Calm Down (feat. J. Cole)
4I4G0LD277PWvfblYtSf91,2023,"['0hCNtLu0JehylgoiP8L4Gh', '3TVXtAsR1Inumwj472S9r4']",Needle (feat. Drake)
5ZJGv7aGdIr9IGpxzSG18T,2023,"['0hCNtLu0JehylgoiP8L4Gh', '4O15NlyKLIASxsJ0PrXPfz']",Everybody (feat. Lil Uzi Vert)
0EUi22tHkqKsZqohlRemto,2023,"['0hCNtLu0JehylgoiP8L4Gh', '1RyvyyTE3xzB2ZywiAwp0i']",Nicki Hendrix (feat. Future)
1QbYbCM5zyEpUv23OUjZX5,2022,"['0hCNtLu0JehylgoiP8L4Gh', '7dGJo4pcD2V6oG8kP0tJRR']",Roman's Revenge (feat. Eminem)
3ukgqjCgUDHX5IyIQgoofE,2022,"['0hCNtLu0JehylgoiP8L4Gh', '5f7VJjfbwm532GiveGC0ZK']",Do We Have A Problem? (with Lil Baby)
0oiTseOUVmGCEYJPrqDhfC,2022,"['0hCNtLu0JehylgoiP8L4Gh', '55Aa2cqylxrFIXC767Z865']",High School (feat. Lil Wayne)
0zvAHtoa1v8oE9eRGVnwjV,2022,"['0hCNtLu0JehylgoiP8L4Gh', '3TVXtAsR1Inumwj472S9r4']",Moment 4 Life (feat. Drake)
0zqsouV60K8qN4xeIzwkCu,2022,"['0hCNtLu0JehylgoiP8L4Gh', '3TVXtAsR1Inumwj472S9r4', '55Aa2cqylxrFIXC767Z865']",Truffle Butter (feat. Drake & Lil Wayne)
5CHylQiGje2DyLtoxCXqbU,2022,"['0hCNtLu0JehylgoiP8L4Gh', '3TVXtAsR1Inumwj472S9r4', '55Aa2cqylxrFIXC767Z865']",Seeing Green (with Drake & Lil Wayne)
6bzzwbgN7rfyIySyy8MPOY,2022,"['0hCNtLu0JehylgoiP8L4Gh', '5f7VJjfbwm532GiveGC0ZK']",Bussin (with Lil Baby)
1TZv3bujNaYz646eezRE91,2021,"['0hCNtLu0JehylgoiP8L4Gh', '3TVXtAsR1Inumwj472S9r4', '55Aa2cqylxrFIXC767Z865']",Seeing Green (with Drake & Lil Wayne)
2bRE4HKlZQDHkiVcDr58aZ,2021,"['0hCNtLu0JehylgoiP8L4Gh', '55Aa2cqylxrFIXC767Z865']",I Get Crazy (feat. Lil Wayne)
6ZrhD4XUvgjaRXh7TD6otO,2021,"['0hCNtLu0JehylgoiP8L4Gh', '55Aa2cqylxrFIXC767Z865']",Gotta Go Hard (feat. Lil Wayne)
6DzTaNNwdUXiJI1l0u6wNe,2021,"['0hCNtLu0JehylgoiP8L4Gh', '3TVXtAsR1Inumwj472S9r4']",Best I Ever Had Remix
21aWm7KFi70DLGomjOUD9D,2018,"['0hCNtLu0JehylgoiP8L4Gh', '55Aa2cqylxrFIXC767Z865']",Rich Sex (feat. Lil Wayne)
6aP5nH2SNEQzf4EXA6bjAh,2018,"['0hCNtLu0JehylgoiP8L4Gh', '1RyvyyTE3xzB2ZywiAwp0i']",Sir (feat. Future)
6supMAknraGpJrN5qqYfV8,2018,"['0hCNtLu0JehylgoiP8L4Gh', '55Aa2cqylxrFIXC767Z865']",Good Form (feat. Lil Wayne) - Remix
3fCkG786ipL3aUc8KoLTvh,2018,"['0hCNtLu0JehylgoiP8L4Gh', '55Aa2cqylxrFIXC767Z865']",Rich Sex (feat. Lil Wayne)
6DvJX7wAAzRomZJVW7E9dQ,2018,"['0hCNtLu0JehylgoiP8L4Gh', '1RyvyyTE3xzB2ZywiAwp0i']",Sir (feat. Future)
7e44z4wOjkllaD8eulUeMd,2014,"['0hCNtLu0JehylgoiP8L4Gh', '3TVXtAsR1Inumwj472S9r4', '55Aa2cqylxrFIXC767Z865']",Truffle Butter
2E80WBBSYN6nTb7qShJ2MT,2012,"['0hCNtLu0JehylgoiP8L4Gh', '55Aa2cqylxrFIXC767Z865']",Roman Reloaded
6bzwoiUt0s1KDOedyy4OtQ,2012,"['0hCNtLu0JehylgoiP8L4Gh', '55Aa2cqylxrFIXC767Z865']",High School
1e2j0v2S32Pc0s71DtQPdh,2012,"['0hCNtLu0JehylgoiP8L4Gh', '55Aa2cqylxrFIXC767Z865']",Roman Reloaded
0Ls8bDcpS75tDu3rVCA6Ht,2012,"['0hCNtLu0JehylgoiP8L4Gh', '55Aa2cqylxrFIXC767Z865']",Roman Reloaded - Album Version (Edited)
3z3KQCqNqcRiZszzO34YKj,2010,"['0hCNtLu0JehylgoiP8L4Gh', '7dGJo4pcD2V6oG8kP0tJRR']",Roman's Revenge
3NnYi2wpHKdTAuc7BbQapx,2010,"['0hCNtLu0JehylgoiP8L4Gh', '3TVXtAsR1Inumwj472S9r4']",Moment 4 Life
4CAvx0TdaURqGmJxTg18uK,2010,"['0hCNtLu0JehylgoiP8L4Gh', '5K4W6rqBFWDnAN6FQUkS6x']",Blazin
4FlyYrqMInO5uWpCRlTBt8,2010,"['0hCNtLu0JehylgoiP8L4Gh', '55Aa2cqylxrFIXC767Z865']",Roman's Revenge
1PE8Lkg4HY530KORtjsCs7,2010,"['0hCNtLu0JehylgoiP8L4Gh', '7dGJo4pcD2V6oG8kP0tJRR']",Roman's Revenge
2sUlQXHLnZLY1n6i12MzoJ,2010,"['0hCNtLu0JehylgoiP8L4Gh', '3TVXtAsR1Inumwj472S9r4']",Moment 4 Life
3g8IZkTL7EYqtmKCfxvHq3,2010,"['0hCNtLu0JehylgoiP8L4Gh', '5K4W6rqBFWDnAN6FQUkS6x']",Blazin
65mvvdnbRTadGb9AoIjD3g,2010,"['0hCNtLu0JehylgoiP8L4Gh', '55Aa2cqylxrFIXC767Z865']",Roman's Revenge
0eUzRaG60gimqQJ02oSUnH,2010,"['0hCNtLu0JehylgoiP8L4Gh', '7dGJo4pcD2V6oG8kP0tJRR']",Roman's Revenge
1ia019RqDK2o4QiANR1Dyn,2010,"['0hCNtLu0JehylgoiP8L4Gh', '3TVXtAsR1Inumwj472S9r4']",Moment 4 Life
36xTg5rgE3Q4aDmCDL9mY5,2010,"['0hCNtLu0JehylgoiP8L4Gh', '5K4W6rqBFWDnAN6FQUkS6x']",Blazin
0dIoGTQXDh1wVnhIiSyYEa,2018,"['4kYSro6naA4h99UJvo89HB', '1URnnhqYAYcrqrcwql10ft']",Bartier Cardi (feat. 21 Savage)
3HI7oDUsuwiDsIziMJberG,2023,"['55Aa2cqylxrFIXC767Z865', '3TVXtAsR1Inumwj472S9r4']",Right Above It (feat. Drake)
1P32FHujlh8FLcfwBkX8ad,2023,"['55Aa2cqylxrFIXC767Z865', '7dGJo4pcD2V6oG8kP0tJRR']",Drop The World (feat. Eminem)
4Izx6tlGNTpflkxmVLQqkq,2023,"['55Aa2cqylxrFIXC767Z865', '3TVXtAsR1Inumwj472S9r4']",She Will (feat. Drake)
1SL0GCtfCGAUv3zx0Rg57S,2023,"['55Aa2cqylxrFIXC767Z865', '2YZyLoL8N0Wb9xBt1NhZWg']",Mona Lisa (feat. Kendrick Lamar)
3FKj2zOWuAt8wbpv3F2h6b,2020,"['55Aa2cqylxrFIXC767Z865', '246dkjvS1zLTtiykXe5h60']",What About Me (feat. Post Malone)
6wqk7PP4Sfde7yEcivSZEh,2020,"['55Aa2cqylxrFIXC767Z865', '0Y5tJX1MQlPlqiwlOH1tJY']",Let It Fly (feat. Travis Scott)
1BsBeAY57rYM2IuyhcDBYN,2020,"['55Aa2cqylxrFIXC767Z865', '0hCNtLu0JehylgoiP8L4Gh']",Dark Side Of The Moon (feat. Nicki Minaj)
1B4IEIe1C21C5s1JFbRRWZ,2020,"['55Aa2cqylxrFIXC767Z865', '2YZyLoL8N0Wb9xBt1NhZWg']",Mona Lisa (feat. Kendrick Lamar)
2dGxduNZXIG3lYSaYpSvo6,2020,"['55Aa2cqylxrFIXC767Z865', '7hJcb9fa4alzcOq3EaNPoG']",Dope Niggaz (feat. Snoop Dogg)
